date,nav,spot,prem_mid,opt_cost,payoff,hedge_pnl,hedge_cost,liab,short_notional,net_delta_units,n_sold,n_skipped,atm_2d,atm_5d,stress_-10%,stress_-5%,stress_+3%,stress_+5%,stress_+8%,stress_+12%,ret,real_hourly
2011-01-19,100.486,1281.92,0.0443456,0.00201865,0,-0.151595,0.00251834,0.0621725,387.443,0,39,1,0.11191,0.117475,-0.949168,-0.450907,-1.48466,-7.28009,-18.2057,-32.9911,-0.000817168,False
2011-01-20,100.477,1280.26,0.0540933,0.0021225,0,-0.012035,0.00189063,0.109472,387.685,0,39,1,0.135493,0.14237,-1.39931,-0.657293,-1.46187,-6.79841,-17.609,-32.065,-9.20988e-05,False
2011-01-21,100.549,1283.35,0.0516084,0.00209086,0,0.0310166,0.00184331,0.116308,390.675,0,40,0,0.132482,0.139207,-1.58087,-0.744625,-1.89823,-7.63642,-18.483,-33.0169,0.000715144,False
2011-01-24,100.695,1290.84,0.0452631,0.00202542,0,0.0950605,0.00152508,0.107107,393.111,0,39,1,0.116488,0.122193,-1.73934,-0.826836,-3.07315,-9.61053,-20.4666,-35.1519,0.00145178,False
2011-01-25,100.73,1291.18,0.0448301,0.00197375,0,-0.0174575,0.00265985,0.0946635,392.296,0,39,1,0.117758,0.123525,-1.5048,-0.715268,-2.90369,-9.378,-20.3078,-35.031,0.000349397,False
2011-01-26,100.777,1296.63,0.0471569,0.00200575,0,0.0400534,0.00275641,0.12972,393.132,0,39,1,0.122198,0.128275,-1.98543,-0.939571,-3.23679,-9.71455,-20.5151,-35.0468,0.000470487,False
2011-01-27,100.865,1299.54,0.049149,0.00203841,0,0.0352183,0.00190235,0.122448,393.137,0,39,1,0.121021,0.127164,-1.89839,-0.900095,-3.20059,-9.67918,-20.5083,-35.0619,0.00087022,False
2011-01-28,100.518,1276.34,0.0668848,0.00237478,0,-0.421664,0.00549645,0.106214,387.718,0,40,0,0.169391,0.177988,-1.10763,-0.5186,-0.535913,-3.9839,-14.0632,-28.6399,-0.00343447,False
2011-01-31,100.652,1286.12,0.0537056,0.00213366,0,0.0756064,0.00114063,0.0988838,391.891,0,40,0,0.139177,0.145993,-1.27012,-0.597625,-1.28951,-6.32716,-17.1181,-31.7585,0.00132681,False
2011-02-01,100.686,1307.59,0.0469502,0.00199927,0.0241943,0.199159,0.0060706,0.27807,396.422,0,39,1,0.119536,0.12539,-3.98071,-1.86443,-3.698,-9.99486,-20.2072,-34.0749,0.000344346,False
2011-02-02,100.774,1304.03,0.0489514,0.00201131,0,-0.0951308,0.0034467,0.139052,393.749,0,39,1,0.123732,0.129886,-2.1608,-1.02339,-3.03793,-9.29105,-20.0161,-34.4695,0.000867846,False
2011-02-03,100.837,1307.1,0.0476631,0.00202211,0,0.0062543,0.00335667,0.124824,393.532,0,39,1,0.123449,0.129715,-1.97533,-0.937632,-3.06073,-9.32617,-20.1418,-34.6522,0.000622851,False
2011-02-04,100.924,1310.87,0.0424418,0.00197062,0,0.0183198,0.00262772,0.0932662,393.219,0,39,1,0.111114,0.116754,-1.58838,-0.757722,-3.06189,-9.61592,-20.5147,-35.2542,0.00086993,False
2011-02-07,101.048,1319.05,0.0409174,0.00194669,0,0.099646,0.0013193,0.107061,393.733,0,38,2,0.102097,0.107097,-1.97615,-0.944,-4.06298,-10.9199,-21.6977,-36.3618,0.00122372,False
2011-02-08,101.124,1324.57,0.0370002,0.00189529,0,0.0431531,0.00336791,0.105967,393.603,0,38,2,0.0939696,0.0985717,-2.1685,-1.03983,-4.70223,-11.6474,-22.38,-36.9847,0.000751961,False
2011-02-09,101.122,1320.88,0.0386802,0.00191146,0,-0.0668954,0.00353086,0.0740011,391.047,0,38,2,0.0990941,0.104022,-1.37875,-0.660501,-3.56616,-10.4434,-21.3498,-36.1458,-1.67295e-05,False
2011-02-10,101.138,1321.87,0.0414836,0.00194848,0,-0.00745947,0.001851,0.0885166,391.597,0,39,1,0.105286,0.11063,-1.52295,-0.726738,-3.36031,-10.1629,-21.0362,-35.7573,0.000155348,False
2011-02-11,101.159,1329.15,0.0437727,0.00194808,0,0.0481945,0.00315048,0.154016,393.741,0,39,1,0.11128,0.117091,-2.53449,-1.20186,-4.00642,-10.741,-21.3444,-35.6973,0.000211284,False
2011-02-14,101.3,1332.32,0.0387921,0.00189026,0,0.0510272,0.0010622,0.100447,394.076,0,38,2,0.100267,0.105254,-1.93505,-0.926694,-4.23473,-11.1358,-21.9435,-36.6032,0.00138827,False
2011-02-15,101.318,1328.01,0.0397365,0.00192662,0,-0.0495534,0.00199509,0.0680212,391.886,0,38,2,0.102072,0.107149,-1.21124,-0.579163,-3.09255,-9.84959,-20.8147,-35.6581,0.000184476,False
2011-02-16,101.397,1336.32,0.041706,0.00192964,0,0.0958818,0.00150611,0.123198,393.649,0,39,1,0.103441,0.108691,-2.1516,-1.0245,-4.04023,-10.8703,-21.5711,-36.0904,0.000779481,False
2011-02-17,101.353,1340.43,0.0521615,0.00204396,0,0.0219075,0.00468748,0.234538,395.517,0,40,0,0.129279,0.136031,-3.22051,-1.5093,-3.65945,-10.0131,-20.4426,-34.4241,-0.000433964,False
2011-02-18,101.548,1343.01,0.0456269,0.00195486,0,0.0535417,0.00303945,0.134318,396.427,0,39,1,0.112868,0.118762,-2.30308,-1.09704,-3.64775,-10.1991,-20.9212,-35.3766,0.00191798,False
2011-02-22,101.174,1315.44,0.0659807,0.00233899,0,-0.469046,0.00420073,0.0983165,389.441,0,40,0,0.168891,0.177163,-1.02018,-0.477143,-0.492445,-3.77167,-13.7183,-28.3295,-0.0036791,False
